family,total_forecasted_demand_16_days,average_daily_forecast,maximum_daily_forecast
GROCERY I,3813688.84375,238355.552734375,305563.1875
BEVERAGES,2885107.171875,180319.1982421875,241760.578125
PRODUCE,1915557.859375,119722.3662109375,150506.78125
CLEANING,1020011.62109375,63750.726318359375,84279.296875
DAIRY,705612.4609375,44100.77880859375,55482.40234375
LAWN AND GARDEN,626570.015625,39160.6259765625,57287.44921875
SCHOOL AND OFFICE SUPPLIES,513943.453125,32121.4658203125,47167.78125
BREAD/BAKERY,454180.884765625,28386.305297851562,38438.765625
MEATS,308084.1328125,19255.25830078125,28386.447265625
POULTRY,307790.994140625,19236.937133789062,27308.53515625
DELI,262724.9951171875,16420.31219482422,20483.07421875
PERSONAL CARE,260761.466796875,16297.591674804688,21239.763671875
HOME CARE,242395.5791015625,15149.723693847656,20346.5546875
EGGS,159759.8369140625,9984.989807128906,13657.1806640625
FROZEN FOODS,103534.44873046875,6470.903045654297,9848.2939453125
"LIQUOR,WINE,BEER",89040.3095703125,5565.019348144531,10186.8984375
PREPARED FOODS,73699.359375,4606.2099609375,5522.65869140625
HOME AND KITCHEN I,25497.80029296875,1593.6125183105469,1864.9232177734375
HOME AND KITCHEN II,24155.149047851562,1509.6968154907227,1774.88037109375
GROCERY II,23154.077026367188,1447.1298141479492,1832.8197021484375
SEAFOOD,15711.5234375,981.97021484375,1240.75537109375
CELEBRATION,9149.295349121094,571.8309593200684,790.8748168945312
LINGERIE,8429.952758789062,526.8720474243164,614.4994506835938
LADIESWEAR,8285.406677246094,517.8379173278809,782.8641967773438
BEAUTY,7611.405700683594,475.7128562927246,586.2982177734375
PLAYERS AND ELECTRONICS,7453.471954345703,465.84199714660645,680.6953735351562
MAGAZINES,5811.014984130859,363.1884365081787,451.95001220703125
PET SUPPLIES,5619.483459472656,351.217716217041,456.70819091796875
AUTOMOTIVE,5438.316680908203,339.8947925567627,446.87677001953125
HARDWARE,560.2400617599487,35.015003859996796,87.71353912353516
BABY CARE,321.177365064621,20.07358531653881,57.68025588989258
HOME APPLIANCES,313.4454233646393,19.590338960289955,58.72234344482422
BOOKS,300.64628052711487,18.79039253294468,55.22611618041992
