family,forecast_demand_16d,validation_error_std,safety_stock,recommended_stock,risk_ratio,risk_category,demand_rank
GROCERY I,3813689,17666.171981909345,116243,3929932,0.030480461306624636,LOW,1
BEVERAGES,2885107,12930.382032814487,85082,2970189,0.029490067439439854,LOW,2
PRODUCE,1915558,5493.740969282385,36149,1951707,0.01887126362135733,LOW,3
CLEANING,1020012,9067.22798908796,59662,1079674,0.058491468727818886,LOW,4
DAIRY,705612,1966.198166983963,12938,718550,0.018335855966168376,LOW,5
LAWN AND GARDEN,626570,177.25262029528804,1166,627736,0.0018609253555069666,LOW,6
SCHOOL AND OFFICE SUPPLIES,513943,2305.8046074300146,15172,529115,0.02952078343318228,LOW,7
BREAD/BAKERY,454181,1821.218517600424,11984,466165,0.02638595625972905,LOW,8
MEATS,308084,1442.0068987835318,9488,317572,0.030796795679100503,LOW,9
POULTRY,307791,1666.866993272096,10968,318759,0.03563457021160463,LOW,10
DELI,262725,930.2042548310137,6121,268846,0.02329812541630983,LOW,11
PERSONAL CARE,260761,1894.0273610236989,12463,273224,0.04779472390426483,LOW,12
HOME CARE,242396,1420.9545751510375,9350,251746,0.03857324378290071,LOW,13
EGGS,159760,764.951730130808,5033,164793,0.03150350525788683,LOW,14
FROZEN FOODS,103534,488.2458200781577,3213,106747,0.031033283752197344,LOW,15
"LIQUOR,WINE,BEER",89040,838.6340895401102,5518,94558,0.06197214734950584,LOW,16
PREPARED FOODS,73699,315.7902591684374,2078,75777,0.028195769277737825,LOW,17
HOME AND KITCHEN I,25498,188.42908428886437,1240,26738,0.048631265197270374,LOW,18
HOME AND KITCHEN II,24155,252.48176564571153,1661,25816,0.06876423100807286,LOW,19
GROCERY II,23154,144.53957562814182,951,24105,0.041072816791915004,LOW,20
SEAFOOD,15712,155.71103549204886,1025,16737,0.0652367617107943,LOW,21
CELEBRATION,9149,104.75344868365018,689,9838,0.0753087769155099,LOW,22
LINGERIE,8430,193.79480316630986,1275,9705,0.1512455516014235,MEDIUM,23
LADIESWEAR,8285,115.74740366330934,762,9047,0.091973445986723,LOW,24
BEAUTY,7611,66.5734651983705,438,8049,0.05754828537642885,LOW,25
PLAYERS AND ELECTRONICS,7453,58.438450962025456,385,7838,0.051657050852005906,LOW,26
MAGAZINES,5811,70.4281757285458,463,6274,0.07967647564963001,LOW,27
PET SUPPLIES,5619,56.375447119438356,371,5990,0.06602598327104467,LOW,28
AUTOMOTIVE,5438,59.22382504483023,390,5828,0.07171754321441706,LOW,29
HARDWARE,560,39.521633054069525,260,820,0.4642857142857143,HIGH,30
BABY CARE,321,31.482767167323235,207,528,0.6448598130841121,HIGH,31
HOME APPLIANCES,313,31.024762786946727,204,517,0.6517571884984026,HIGH,32
BOOKS,301,31.9455124891695,210,511,0.6976744186046512,HIGH,33
